movieId,totalSeats,availableSeats,screenName,language,movieFormat,subtitle,screenType,filmFormat,theatreId,experienceKey,startTime,endTime
36400,44,39,AUDI 02 GOLD,Hindi,,False,GOLD,,511,gold,2026-03-05T15:35:00,2026-03-05T18:23:00
36400,44,44,AUDI 01 GOLD,Hindi,,False,GOLD,,511,gold,2026-03-05T19:40:00,2026-03-05T22:28:00
36400,44,41,AUDI 01 GOLD,Hindi,,False,GOLD,,511,gold,2026-03-05T22:30:00,2026-03-06T01:22:00
36400,319,293,AUDI 10 PXL,Hindi,ATMOS,False,PXL,,511,pxl,2026-03-05T11:00:00,2026-03-05T13:29:00
36400,319,248,AUDI 10 PXL,Hindi,ATMOS,False,PXL,,511,pxl,2026-03-05T13:30:00,2026-03-05T16:18:00
36400,319,307,AUDI 10 PXL,Hindi,ATMOS,False,PXL,,511,pxl,2026-03-05T16:20:00,2026-03-05T19:08:00
36400,319,296,AUDI 10 PXL,Hindi,ATMOS,False,PXL,,511,pxl,2026-03-05T19:10:00,2026-03-05T21:58:00
36400,319,311,AUDI 10 PXL,Hindi,ATMOS,False,PXL,,511,pxl,2026-03-05T22:00:00,2026-03-06T00:52:00
36400,233,203,AUDI 07,Hindi,,False,LASER,,534,laser,2026-03-05T10:30:00,2026-03-05T13:17:00
36400,233,192,AUDI 07,Hindi,,False,LASER,,534,laser,2026-03-05T13:20:00,2026-03-05T16:04:00
36400,233,227,AUDI 07,Hindi,,False,LASER,,534,laser,2026-03-05T16:05:00,2026-03-05T18:52:00
36400,111,108,AUDI 03,Hindi,,False,LASER,,534,laser,2026-03-05T19:00:00,2026-03-05T21:42:00
36400,114,110,AUDI 01,Hindi,,False,LASER,,534,laser,2026-03-05T21:40:00,2026-03-06T00:27:00
36400,205,191,AUDI 03,Hindi,,False,,,512,,2026-03-05T10:20:00,2026-03-05T13:09:00
36400,205,190,AUDI 03,Hindi,,False,,,512,,2026-03-05T13:20:00,2026-03-05T16:09:00
36400,205,191,AUDI 03,Hindi,,False,,,512,,2026-03-05T16:10:00,2026-03-05T18:59:00
36400,151,145,AUDI 05,Hindi,,False,,,512,,2026-03-05T18:55:00,2026-03-05T21:43:00
36400,151,145,AUDI 05,Hindi,,False,,,512,,2026-03-05T22:00:00,2026-03-06T00:49:00
36400,234,209,SCREEN-3,Hindi,,False,,,519,,2026-03-05T13:00:00,2026-03-05T15:49:00
36400,234,225,SCREEN-3,Hindi,,False,,,519,,2026-03-05T15:50:00,2026-03-05T18:40:00
36400,234,230,SCREEN-4,Hindi,,False,,,519,,2026-03-05T18:30:00,2026-03-05T21:18:00
