movieId,title,imdb_url,adult,overview,runtime,status,tagline,facebook,instagram,twitter,tmdb_id
36684,ETERNAL SUNSHINE OF THE SPOTLESS MIND (RE RELEASE) (ENGLISH) (A),https://www.imdb.com/title/tt0338013,False,,108,Released,You can erase someone from your mind. Getting them out of your heart is another story.,https://www.facebook.com/EternalSunshineMovie,,,38
33735,MARDAANI:3 (HINDI) (UA 16+),https://www.imdb.com/title/tt27673536,False,"Police officer Shivani Shivaji Roy returns to hunt down those behind the disappearance of young girls, risking everything to bring them back alive.",,In Production,Rescue begins,,,,1339876
36592,HEY BALWANTH (TELUGU) (A),https://www.imdb.com/title/tt37342587,False,"Expecting to inherit the family business, a young man instead finds himself running a very different enterprise while juggling love, lies, and an unexpected legacy.",132,Released,,,,,1531852
36244,EPIC - ELVIS PRESLEY IN CONCERT (ENGLISH) (UA 16+),https://www.imdb.com/title/tt35003538,False,,96,Released,Elvis sings and tells his story like never before.,,,,1445363
35280,SEND HELP (3D ENGLISH WITH ENGLISH SUBTITLE) (A),https://www.imdb.com/title/tt8036976,False,"After a plane crash strands a capable female employee and her annoying boss on a remote island, she must use her survival skills to keep them both alive, despite their challenging relationship.",,Post Production,,,,,1198994
34126,DEMON SLAYER KIMETSU NO YAIBA INFINITY CASTLE (JAPANESE WITH ENGLISH SUBTITLE) (UA 13+),https://www.imdb.com/title/tt32820897,False,,,Post Production,The final battle ignites.,https://www.facebook.com/DemonSlayer.anime,,https://www.twitter.com/kimetsu_off,1311031
36545,PREMAM (RE RELEASE) (MALAYALAM) (U),https://www.imdb.com/title/tt4679210,False,"Three stages in George's life, and three girls he encounters in each stage.",157,Released,,https://www.facebook.com/Premamfilm,,,341895
36371,PRAKAMBANAM (MALAYALAM) (UA 13+),https://www.imdb.com/title/tt36457300,False,A group of students' lives are thrown into chaos after one of them is possessed by the spirit of an elderly woman.,126,Released,,,,,1398014
35249,THE HOUSEMAID (ENGLISH) (A),https://www.imdb.com/title/tt27543632,False,"Millie is a struggling woman who is relieved to get a fresh start as a housemaid to Nina and Andrew, an upscale, wealthy couple. She soon learns that the family’s secrets are far more dangerous than her own.",,Post Production,Discover what lies behind closed doors.,https://www.facebook.com/HousemaidMovie,https://www.facebook.com/housemaidmovie,https://www.twitter.com/HousemaidMovie,1368166
33742,THERE WILL BE BLOOD (RE RELEASE) (ENGLISH) (A),https://www.imdb.com/title/tt0469494,False,,158,Released,There will be greed. There will be vengeance.,,,,7345
31367,SINNERS (ENGLISH IMAX WITH ENGLISH SUBTITLE) (A),https://www.imdb.com/title/tt31193180,False,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",,Post Production,Dance with the devil.,,,,1233413
34957,THE GODFATHER (RE RELEASE) (ENGLISH) (A),https://www.imdb.com/title/tt0068646,False,,175,Released,Who's Your (God)Daddy?,https://www.facebook.com/thegodfather,https://www.facebook.com/thegodfathermovie,https://www.twitter.com/godfathermovie,238
